AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Class,Timestamp,Classe
0.24578643,0.06353335,0.71774006,-0.0065668016,-0.010995574,-0.015347989,SLOW,3583167,2
-0.59548366,0.28454533,0.2595148,0.031306844,0.08552113,-0.033673946,SLOW,3583168,2
0.086812496,-0.11954607,-0.3032627,-0.035277467,0.069027774,-0.03733914,SLOW,3583168,2
-0.43504012,0.3730265,-0.9779768,-0.015118915,-0.0720821,-0.07887798,SLOW,3583169,2
0.47068214,-0.13790935,1.0414667,-0.05299256,-0.051923547,-0.07582365,SLOW,3583169,2
-0.5146539,0.2364428,0.5498972,0.014813482,0.06291912,-0.07765625,SLOW,3583170,2
0.20216537,-0.75503236,0.25289917,0.032528576,-0.05681047,-0.047112983,SLOW,3583171,2
-0.2590568,0.13349247,-0.16456985,0.013591751,-0.018936822,-0.05627596,SLOW,3583171,2
-0.08454156,0.039694697,0.5736284,0.012370021,0.015882496,-0.032452215,SLOW,3583172,2
0.17387342,0.15814552,-0.4426508,-0.012675454,-0.009773844,-0.02939789,SLOW,3583172,2
-0.36796176,0.4169026,0.54393864,-0.005955936,-0.0012217305,-0.01779145,SLOW,3583173,2
-0.79814684,-0.1867679,-0.11819172,0.019700404,0.018325957,0.002977968,SLOW,3583173,2
0.4745407,0.22671764,0.3151846,0.025198191,0.019547688,0.010308351,SLOW,3583174,2
-0.203498,-0.3374565,-0.44936562,0.0062613687,0.002443461,0.02313652,SLOW,3583174,2
-0.10134661,0.04897669,-0.572093,0.0062613687,0.032986723,0.016417004,SLOW,3583175,2
-0.38558316,0.36047563,0.37428856,-0.027947085,-0.03359759,0.018860465,SLOW,3583175,2
0.02301085,0.14819306,-0.62440014,0.00015271631,-0.014049901,-0.00496328,SLOW,3583176,2
-0.24528825,-0.62336856,-0.2140398,0.014813482,-0.025045475,-0.015347989,SLOW,3583176,2
0.0885613,-0.108618855,-0.4503641,-0.012064588,-0.01160644,0.011530082,SLOW,3583177,2
0.17295241,0.21201241,0.402915,0.0050396384,-0.0018325958,-0.039171733,SLOW,3583178,2
-0.10873592,0.15471572,-0.4898014,0.019700404,0.037873644,-0.018402316,SLOW,3583178,2
0.103682995,0.11754072,-0.45355034,-0.019394971,-0.018325957,-0.028176159,SLOW,3583179,2
0.32675385,-0.15192991,0.8054476,0.025809057,0.023823744,-0.0092393365,SLOW,3583179,2
-0.19343853,-0.12493688,-0.32754326,0.012980887,-0.010995574,-0.019624045,SLOW,3583180,2
0.3334514,0.30821854,0.30718327,-0.050549097,-0.028710667,0.015806139,SLOW,3583180,2
-0.278924,0.518888,0.0021009445,-0.0071776668,0.023823744,0.07261661,SLOW,3583181,2
-0.658909,-0.41996133,-0.4508524,-0.01450805,-0.027488936,0.062842764,SLOW,3583181,2
-0.18942356,-0.23180452,0.15496826,0.08506299,-0.11178834,0.0017562376,SLOW,3583182,2
0.6597874,1.6670449,1.3080301,-0.08170322,0.11484267,0.094607756,SLOW,3583182,2
-0.53503156,0.14622152,0.3209114,0.065515295,-0.09285152,0.08788824,SLOW,3583183,2
0.07118678,0.2554409,-0.29363537,0.017256944,-0.03604105,0.10377073,SLOW,3583183,2
-0.27280432,0.18190366,-0.4611826,0.00015271631,-0.047036625,0.046960264,SLOW,3583184,2
-0.113613844,0.78095883,-0.7631178,-0.07437284,-0.069027774,-0.028176159,SLOW,3583185,2
-0.17536402,-0.5035924,-0.34653664,-0.033444874,-0.06963864,0.0017562376,SLOW,3583185,2
-0.45317984,-1.2281679,-0.040299416,-0.04260785,-0.01160644,-0.025732698,SLOW,3583186,2
-0.57939196,-1.8631265,-2.2812157,-0.010842858,-0.012217305,-0.0019089539,SLOW,3583186,2
-0.5346551,-0.037801873,0.9294739,0.0013744468,-0.051923547,-0.0067958757,SLOW,3583187,2
-0.40446043,-0.60322833,-2.1398096,0.021533,0.106901415,-0.0037415496,SLOW,3583187,2
-0.4469416,-1.8651457,-0.13651085,0.02031127,0.06780604,0.0463494,SLOW,3583188,2
0.2539816,0.63453865,0.33338833,0.03191771,0.018325957,-0.0110719325,SLOW,3583188,2
-1.3211612,-0.77778745,0.1835804,-0.011453724,-0.050701816,0.053679783,SLOW,3583189,2
-0.06827521,0.64116,-0.6700077,-0.009010263,0.05009095,0.07506007,SLOW,3583189,2
-0.024574637,1.0126415,0.07268238,-0.01572978,-0.0012217305,0.058566704,SLOW,3583190,2
0.55927014,0.6854597,0.13104916,-0.065209866,-0.06963864,0.042073343,SLOW,3583191,2
-1.0695596,-1.080426,0.4529152,0.0032070426,0.1001819,0.016417004,SLOW,3583191,2
0.11234224,0.9088862,0.5346832,0.014202617,0.037873644,-0.004352415,SLOW,3583192,2
-0.27004123,1.2242059,-0.010037422,0.08078693,-0.03176499,0.04085161,SLOW,3583192,2
-0.20580399,0.330903,-0.05064869,-0.04138612,-0.007330383,0.04390594,SLOW,3583193,2
-0.6222877,-0.46958125,-0.45367432,0.010537425,-0.028099801,0.0005345071,SLOW,3583193,2
1.0474737,0.4053754,-0.48180676,-0.03894266,-0.096516706,0.025579982,SLOW,3583194,2
-0.7571312,-0.17351988,1.110363,0.065515295,0.015882496,-0.008628472,SLOW,3583194,2
0.23285353,-0.8074251,-0.7723894,-0.031612277,0.004886922,0.010919216,SLOW,3583195,2
0.84568584,0.030835122,0.06043911,-0.020616703,0.055588737,0.07322747,SLOW,3583195,2
